title,genres
Curse of the Golden Flower,Romance
Spy Game,Action
Spy Game,Crime
Spy Game,Thriller
Collateral,Action
Collateral,Crime
Collateral,Drama
The Lost Boys,Comedy
The Lost Boys,Horror
The Spanish Apartment,Comedy
The Spanish Apartment,Drama
The Spanish Apartment,Romance
Resident Evil,Action
Resident Evil,Horror
Resident Evil,Sci-Fi
Resident Evil: Apocalypse,Action
Resident Evil: Apocalypse,Horror
Resident Evil: Apocalypse,Sci-Fi
School of Rock,Comedy
School of Rock,Music
Secret Window,Drama
Secret Window,Mystery
Secret Window,Thriller
What's Eating Gilbert Grape,Drama
Bring It On,Comedy
Bring It On,Romance
Bring It On,Sport
Primal Fear,Crime
Primal Fear,Drama
Primal Fear,Mystery
Meet the Parents,Comedy
Meet the Parents,Romance
Cape Fear,Crime
Cape Fear,Thriller
Hitman,Action
Hitman,Crime
Hitman,Thriller
The People vs. Larry Flynt,Biography
The People vs. Larry Flynt,Drama
Fried Green Tomatoes,Drama
Free Willy,Adventure
Free Willy,Drama
Free Willy,Family
The Island,Action
The Island,Sci-Fi
The Island,Thriller
The Net,Action
The Net,Crime
The Net,Drama
The Motorcycle Diaries,Adventure
The Motorcycle Diaries,Biography
The Motorcycle Diaries,Drama
The Legend of Zorro,Action
The Legend of Zorro,Adventure
The Legend of Zorro,Romance
Hostel,Horror
Hostel: Part II,Horror
Anatomy,Horror
Anatomy,Thriller
The Cider House Rules,Drama
The Cider House Rules,Romance
The Incredible Hulk,Action
The Incredible Hulk,Adventure
The Incredible Hulk,Sci-Fi
Iron Man,Action
Iron Man,Adventure
Iron Man,Sci-Fi
The Forbidden Kingdom,Action
The Forbidden Kingdom,Adventure
The Forbidden Kingdom,Fantasy
The Mummy Returns,Action
The Mummy Returns,Adventure
The Mummy Returns,Fantasy
The Mummy: Tomb of the Dragon Emperor,Action
The Mummy: Tomb of the Dragon Emperor,Adventure
The Mummy: Tomb of the Dragon Emperor,Fantasy
Next,Action
Next,Sci-Fi
Next,Thriller
Footloose,Drama
Footloose,Music
Footloose,Romance
The Devil's Advocate,Drama
The Devil's Advocate,Fantasy
The Devil's Advocate,Mystery
50 First Dates,Comedy
50 First Dates,Drama
50 First Dates,Romance
Russian Dolls,Comedy
Russian Dolls,Drama
Russian Dolls,Romance
We Shall Overcome,Drama
We Shall Overcome,Family
Fantomas Unleashed,Adventure
Fantomas Unleashed,Comedy
Fantomas Unleashed,Crime
Fantomas,Adventure
Fantomas,Comedy
Fantomas,Crime
Fantomas vs. Scotland Yard,Adventure
Fantomas vs. Scotland Yard,Comedy
Fantomas vs. Scotland Yard,Crime
Fear and Loathing in Las Vegas,Adventure
Fear and Loathing in Las Vegas,Comedy
Fear and Loathing in Las Vegas,Drama
The Karate Kid,Action
The Karate Kid,Drama
The Karate Kid,Family
Marie Antoinette,Biography
Marie Antoinette,Drama
Marie Antoinette,History
Traffic,Crime
Traffic,Drama
Traffic,Thriller
In Good Company,Comedy
In Good Company,Drama
In Good Company,Romance
Open Your Eyes,Drama
Open Your Eyes,Mystery
Open Your Eyes,Sci-Fi
Memoirs of a Geisha,Drama
Memoirs of a Geisha,Romance
The Sea Inside,Biography
The Sea Inside,Drama
"Manta, Manta",Comedy
Away from Her,Drama
Sweet November,Drama
Sweet November,Romance
September 11,Drama
Hulk,Action
Hulk,Sci-Fi
The Amazing Spider-Man,Action
The Amazing Spider-Man,Adventure
The Amazing Spider-Man,Sci-Fi
Stomp the Yard,Drama
Stomp the Yard,Music
Stomp the Yard,Romance
The Others,Horror
The Others,Mystery
The Others,Thriller
Me and My Sister,Comedy
Me and My Sister,Drama
An Unfinished Life,Drama
An Unfinished Life,Family
An Unfinished Life,Romance
Crank,Action
Crank,Crime
Crank,Thriller
Zodiac,Crime
Zodiac,Drama
Zodiac,Mystery
The Butterfly Effect,Drama
The Butterfly Effect,Sci-Fi
The Butterfly Effect,Thriller
Enough,Crime
Enough,Drama
Enough,Thriller
A Perfect Murder,Crime
A Perfect Murder,Drama
A Perfect Murder,Thriller
Alexander,Action
Alexander,Biography
Alexander,Drama
Bra Boys,Documentary
Bra Boys,Sport
The Constant Gardener,Drama
The Constant Gardener,Mystery
The Constant Gardener,Romance
Paranoid Park,Crime
Paranoid Park,Drama
Paranoid Park,Mystery
Death Proof,Action
Death Proof,Drama
Death Proof,Thriller
We Own the Night,Action
We Own the Night,Crime
We Own the Night,Drama
"4 Months, 3 Weeks and 2 Days",Drama
Persepolis,Animation
Persepolis,Biography
Persepolis,Drama
Secret Sunshine,Drama
The Wedding Planner,Comedy
The Wedding Planner,Romance
Hard Target,Action
Hard Target,Crime
